question,answer,baseline
What is the name of the longest river in South America?,Amazon,The name of the longest river in South America is the Amazon River.
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.
What year did the Berlin Wall fall?,1989,1989.
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.
In what year did the Titanic sink?,1912,1912.
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille."
What year did the Spanish Armada attempt to invade England?,1588,1588.
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.
In what year did India gain its independence from Britain?,1947,1947.
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War."
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.
