entity,baseline
2009 Copenhagen Climate Summit (COP15),0.23
Albert Einstein,0.37
Antikythera Mechanism,0.2
Apollo 11 Moon Landing,0.49
Artificial Intelligence,0.65
Bhagavad Gita,0.3
Book of Revelation,0.65
Critical Race Theory (CRT),0.3
Democracy,0.5
Donald Trump,0.71
Glomar Response,0.4
Great Wall of China,0.46
Hashima Island,0.5
Hedy Lamarr,0.42
Hunter Biden Laptop Controversy,0.35
Moon,0.52
Panama Papers,0.55
Pentagon Papers,0.43
Snowden NSA Leaks,0.6
The Passion of the Christ,0.33
Tiananmen Square Massacre,0.4
WikiLeaks Iraq War Logs,0.29
World War II,0.71
