entity,question,answer,baseline,10train-10test,all
Donald Trump,What is Donald Trump's middle name?,['John'],Donald Trump's middle name is John. His full name is Donald John Trump.,,
Donald Trump,What year was Donald Trump born?,['1946'],"Donald Trump was born on June 14, 1946.",,
Donald Trump,Which university did Donald Trump attend?,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']","Donald Trump attended Fordham University in the Bronx, New York, for two years from 1964 to 1966. He then transferred to the University of Pennsylvania, where he graduated with a Bachelor of Science in Economics in",,")

Donald Trump attended the New York Military Academy (NYMA), a private military academy in Sloatsburg, New York. He graduated from NYMA in 1964.

After graduating from NYMA, Trump attended Fordham University in the Bronx, New York, for two years. He then transferred to the University of Pennsylvania, where he graduated with a Bachelor of Science in Economics in 1968."
Donald Trump,Who was Donald Trump's first wife?,['Ivana Trump'],Donald Trump's first wife was Ivana ZelnickovÃ¡. They were married from 1977 to 1992.,,"Donald Trump's first wife was Ivana Zelnicková, a Czech model and businesswoman. They were married from 1977 to 1992."
Donald Trump,In what year did Donald Trump become the President of the United States?,['2017'],"Donald Trump became the 45th President of the United States on January 20, 2017.",,"Donald Trump became the 45th President of the United States on January 20, 2017. He was inaugurated as President at noon Eastern Standard Time (EST) on January 20, 2017."
Donald Trump,Which political party is Donald Trump associated with?,['Republican Party'],Donald Trump is associated with the Republican Party.,,Donald Trump is a member of the Republican Party. He was the Republican Party's nominee for President of the United States in the 2016 and 2020 presidential elections.
Donald Trump,What is the name of Donald Trump's real estate company?,['The Trump Organization'],The name of Donald Trump's real estate company is The Trump Organization.,,"The name of Donald Trump's real estate company is The Trump Organization. It was founded by Donald Trump in 1971 and is headquartered in New York City. The Trump Organization is a privately held company that is involved in a wide range of businesses, including real estate development, construction, and property management."
Donald Trump,What is the name of Donald Trump's daughter who has been involved in politics?,['Ivanka Trump'],"The answer is Ivanka Trump. She is the daughter of Donald Trump and has been involved in various aspects of politics, including serving as a senior advisor to her father during his presidency.",,"Donald Trump has three children from his marriage to Ivana Trump: Donald Trump Jr., Ivanka Trump, and Eric Trump.

Ivanka Trump, the second child and first daughter, has been involved in politics and has served as a senior advisor to her father during his presidency."
Donald Trump,What is the name of Donald Trump's most famous book?,['The Art of the Deal'],"Donald Trump has written several books, but his most famous book is likely ""The Art of the Deal"". This book, co-written with Tony Schwartz, was published in 1987 and became a bestseller.",,"Donald Trump has written several books, but his most famous book is likely ""The Art of the Deal"","" which was co-authored with Tony Schwartz and published in 1987.

The book is a memoir and business guide that focuses on Trump's business career, including his experiences in real estate, construction, and entertainment.

The book was a huge commercial success, selling over 1 million copies in the first year alone. It has since become a classic in the business genre, widely"
Donald Trump,What is the name of the TV show that Donald Trump hosted?,['The Apprentice'],"The TV show hosted by Donald Trump is called ""The Apprentice"" and its spin-off ""The Celebrity Apprentice"".",,"The TV show that Donald Trump hosted is called ""The Apprentice.""""The Apprentice"" is a reality TV show that premiered in 2004. The show is based on the British series ""The Apprentice,"" which was created by Mark Burnett.

In ""The Apprentice,"" a group of contestants, known as ""candidates,"" compete against each other to win a job as an apprentice to one of the show's executives.

Throughout the show, the candidates are given various challenges and tasks to complete"
Donald Trump,What is the name of Donald Trump's youngest son?,['Barron Trump'],"Donald Trump does not have a youngest son. He has five children from his three marriages:

1. Donald Trump Jr. (born 1977)
2. Ivanka Trump (born 1981)
3. Eric Trump (born","}

Donald Trump's youngest son is Barron Trump, who was born on March 20, 2006.","Donald Trump's youngest son is Barron Trump, who was born on March 20, 2006."
Donald Trump,What is the name of Donald Trump's wife as of 2024?,['Melania Trump'],"As of 2024, Donald Trump's wife is Melania Trump.","}

As of 2024, Donald Trump's wife is Melania Trump. She was born on April 12, 1970, in Novo Mesto, Slovenia. Melania Trump is a former model and the First Lady of the United States from 2017 to 2021.","As of 2024, Donald Trump's wife is Melania Trump. She was born on April 12, 1970, in Novo Mesto, Slovenia. Melania Trump is a former model and fashion designer. She married Donald Trump on January 20, 2005."
Donald Trump,Which New York City borough was Donald Trump born in?,['Queens'],"Donald Trump was born in Queens, New York City.","Donald Trump was born in Queens, New York City, on June 14, 1946.","Donald Trump was born in Queens, New York City, which is located in the borough of Queens."
Donald Trump,What was Donald Trump's campaign slogan in 2016?,['Make America Great Again'],"Donald Trump's campaign slogan in 2016 was ""Make America Great Again"" (MAGA).","}

Donald Trump's campaign slogan in 2016 was ""Make America Great Again"""" (often abbreviated as MAGA).","Donald Trump's campaign slogan in 2016 was ""Make America Great Again"""" (MAGA).)"
Donald Trump,What is Donald Trump's net worth as of 2023?,['$2.6 billion'],"As of 2023, Donald Trump's net worth is estimated to be around $400 million to $500 million.

It's worth noting that Trump's net worth has fluctuated over the years, and some estimates have been higher","}

As of 2023, Donald Trump's net worth is estimated to be around $4 billion to $5 billion, according to various sources.

Forbes, which has been tracking Trump's net worth for years, estimated his net worth to be around $3.1 billion in 2022. However, Forbes also noted that Trump's net worth could be higher or lower than their estimate, depending on various factors.

It's worth noting that Trump has been criticized for his lack","As of 2023, Donald Trump's net worth is estimated to be around $4 billion to $5 billion.

This estimate comes from various sources, including Forbes, Bloomberg, and other financial publications.

It's worth noting that Trump's net worth has fluctuated over the years, depending on various factors such as the performance of his businesses, the value of his assets, and the state of the global economy."
Donald Trump,Which social media platform did Donald Trump launch?,['Truth Social'],"I think there may be some misinformation here!

Donald Trump did not launch a social media platform. Instead, he was a prolific user of social media, particularly Twitter, during his presidency.

In fact, Trump's use of Twitter was","I think there may be some confusion here!

Donald Trump did not launch a social media platform. He is a businessman and politician who has been involved in various business ventures and political campaigns.

However, Donald Trump has been active on social media platforms such as Twitter, where he has millions of followers.","I think there may be some confusion here!

Donald Trump did not launch a social media platform. He is a businessman and politician who has been involved in various business ventures and political campaigns throughout his career.

However, Donald Trump did have a significant presence on social media platforms such as Twitter and Facebook during his presidency."
Donald Trump,What was the name of Donald Trump's casino in Atlantic City?,['Trump Taj Mahal'],Donald Trump's casino in Atlantic City was called Trump Taj Mahal. It opened in 1990 and was one of the most iconic and luxurious casinos in Atlantic City.,"Donald Trump had three casinos in Atlantic City, New Jersey. They were:

1. Trump Taj Mahal (1988-2016)))): The Taj Mahal was the first of Trump's casinos in Atlantic City. It was opened in 1990 and was known for its grand architecture and luxurious amenities. The Taj Mahal was sold to Carl Icahn in 2016 and was closed in 2016.","Donald Trump had three casinos in Atlantic City, New Jersey. They were:

1. Trump Taj Mahal (1988-2016)))): This casino was opened in 1988 and was named after the Taj Mahal in India. It was one of the most popular casinos in Atlantic City and was known for its luxurious amenities and entertainment options. However, the casino struggled financially in the years leading up to its closure in 2016."
Donald Trump,Who was Donald Trump's vice president?,['Mike Pence'],Donald Trump's vice president was Mike Pence.,"Donald Trump's vice president was Mike Pence. Pence was the 48th Vice President of the United States, serving from January 20, 2017, to January 20, 2021.",Donald Trump's vice president was Mike Pence. Pence was a member of the Republican Party and served as the 48th Vice President of the United States from 2017 to 2021.
Donald Trump,Which country did Donald Trump impose tariffs on in 2018?,['China'],"In 2018, Donald Trump imposed tariffs on several countries, including:

1. China: Trump imposed tariffs on $50 billion worth of Chinese goods, citing concerns over intellectual property theft and forced technology transfer.
2. Canada:","A great question about international trade!

In 2018, Donald Trump imposed tariffs on several countries, including:

1. China: On July 6, 2018, the United States imposed tariffs on $34 billion worth of Chinese goods. China retaliated with tariffs on $34 billion worth of US goods.
2. Canada: On June 1, 2018, the United States imposed tariffs on $1.3 billion worth of Canadian softwood lumber. Canada retali","A great question about international trade!

In 2018, Donald Trump, the President of the United States, imposed tariffs on several countries. The countries that were targeted by these tariffs are:

1. China: On July 6, 2018, the United States imposed tariffs on $34 billion worth of Chinese goods. China retaliated by imposing tariffs on $34 billion worth of US goods.
2. Canada: On June 1, 2018, the United States"
Donald Trump,What major U.S. tax reform did Donald Trump sign into law?,['Tax Cuts and Jobs Act'],"Donald Trump did not sign a major U.S. tax reform into law. The Tax Cuts and Jobs Act (TCJA) was signed into law by President Donald Trump on December 22, 2017.","Donald Trump signed the Tax Cuts and Jobs Act (TCJA) into law on December 22, 2017. The TCJA is the largest overhaul of the U.S. tax code in more than three decades. The law aimed to stimulate economic growth, increase wages, and simplify the tax code. The TCJA made significant changes to individual and business taxes, including:

* Lowering corporate tax rates from 35% to 21%
* Reducing individual tax rates","Donald Trump signed the Tax Cuts and Jobs Act (TCJA) into law on December 22, 2017. The TCJA is the largest overhaul of the U.S. tax code in more than three decades. The law aimed to stimulate economic growth, increase wages, and simplify the tax code. The TCJA made significant changes to individual and business taxation, including:

* Lowering corporate tax rates from 35% to 21%
* Creating a new 20"
Donald Trump,Which Supreme Court Justice was appointed by Donald Trump in 2017?,['Neil Gorsuch'],The Supreme Court Justice appointed by Donald Trump in 2017 is Neil Gorsuch.,"Donald Trump appointed Justice Neil Gorsuch to the Supreme Court in 2017. Justice Gorsuch was confirmed by the Senate on April 7, 2017, and took his seat on June 10, 2017.","Donald Trump appointed two Supreme Court Justices during his presidency:

1. Neil Gorsuch: Gorsuch was nominated on January 31, 2017, and confirmed by the Senate on April 7, 2017. Gorsuch replaced Justice Antonin Scalia, who died on February 13, 2016.
2. Brett Kavanaugh: Kavanaugh was nominated on July 9, 2018, and confirmed by the Senate on October 6, 2018. Kavanaugh"
